video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7505523664142617886,amackofalltrades,"In his defense, the prices ARE ridiculous 🥲💄",136700,305,384,1100000,,original sound,2025-05-17 21:05:29,https://www.tiktok.com/@amackofalltrades/video/7505523664142617886
7505870547121737002,nypost,"The New Jersey train conductor just busted for allegedly horribly abusing a girl for years had been hailed for job heroics in February, it emerged — along with new details about her escape. Branndon Mosley, 41, was heralded for his actions during a Feb. 6 SEPTA train fire — weeks before he and his girlfriend were charged May 11 with confining and abusing the girl, who was 11 when the torture started and is now 18, according to a report. The child was forced to live in a dog crate for a year and at one point had only a bucket for a toilet in the couple’s “squalid” animal-filled home, Camden County prosecutors said. The girl’s relationship to the pair was not immediately known. Mosley and gal pal Brenda Spencer, 38, both of Gloucester Township are accused of physically and mentally abusing the girl before she finally escaped to the house of a neighbor who helped get her to safety. Mosley also is accused of sexually abusing the child. “She told me just recently that they cut her hair and shaved her head for punishment,” the neighbor who helped rescue the child told Fox 29. “She said they kept her in the dog crate. It was horrific, it was disgraceful,” said the resident, who only wanted to go by Susan. “We were both in tears, me and my son. We couldn’t believe it.” The sickening allegations surfaced just weeks after Mosley jumped into action when a train traveling from west Trenton, NJ, to Newark, Del., caught on fire near the Crum Lynne Station in Pennsylvania in February, Fox 29 reported. All 325 passengers and four crew members on board evacuated safely, officials said. Mosley was honored by SEPTA for his actions in the incident, with Fox 29 obtaining a photo of the emotionless conductor holding up a framed certificate. SEPTA did not immediately return an email or call seeking comment. The alleged abuser has been with the transit agency for 18 years and has since been taken off duty, a SEPTA spokesperson told the station. Mosley and Spencer were charged with first-degree kidnapping, second-degree aggravated assault, aggravated assault with a deadly weapon and a slew of other criminal counts. Mosley is also separately facing charges of first-degree aggravated sexual assault and second-degree sexual assault, prosecutors said. “I don’t know what to think because you know the people next door. You talk to them, you never know what’s happening in there,” the neighbor, Susan, told the station. “It is so unreal to me to know what was happening right next door to me.” 📸: SEPTA; Camden County Prosecutor's Office",8278,414,521,746800,,original sound - New York Post | News,2025-05-18 19:31:57,https://www.tiktok.com/@nypost/video/7505870547121737002
7506334392785145131,dani__and__jo,how come this happens everytime my wife eats chicken?😂 #couple #wife #humor #couplecomedy #funny ,93300,2991,14300,2000000,"couple, wife, humor, couplecomedy, funny",original sound,2025-05-20 01:31:41,https://www.tiktok.com/@dani__and__jo/video/7506334392785145131
7504750938800852254,admiration4lexpt2,I start breathing funny for no reason 🤣,133300,114,2986,440300,,original sound,2025-05-15 19:06:44,https://www.tiktok.com/@admiration4lexpt2/video/7504750938800852254
7506677032131071262,hope.maum,"2025 season for Chickamauga Turn train ride just opened from the Tennessee Valley Railroad 🚂😍 Send to someone who would love this 🫶🏼 📍Tennessee Valley Railroad’s “Chickamauga Turn” train ride just started back up for summer and takes you on a fun day trip from Chattanooga to North Georgia!  🚂 Destination: The train takes you to Chickamauga, GA where you will have 90 minutes to explore, tour & shop -  followed by a 2nd stop at the Chickamauga Battlefield 🌾 🗓️ When:  Select Saturdays & Sundays thru October 🕒 Lasts around 6 hours round trip!  📌 We really enjoyed walking to the top of Wilder Tower, exploring the Gordon-Lee Mansion, and having lunch on the train! 😋 Ryan had a brisket sandwich with 2 sides and I had a chicken salad (DF/GF)  ❓FAQ:  - Tickets start at $55/adult - Tickets with dining car lunch start at $85/adult - Climate-controlled coaches - Restrooms on board - Snacks & drinks available  - Service animals only  Everyone who worked on the train was SO friendly and made our experience great, highly recommend!!! 🥰 Thanks TVRAIL for having us! ✨ I put a 🔗 to the ride on my page :)  #tennesseevalleyrailroad  #trainride #train",59700,769,41400,1700000,"tennesseevalleyrailroad, trainride, train",original sound,2025-05-20 23:40:55,https://www.tiktok.com/@hope.maum/video/7506677032131071262
7503662578053287173,_tristanbrown,#truelover ,71700,146,3780,500700,truelover,Electric Love,2025-05-12 20:43:18,https://www.tiktok.com/@_tristanbrown/video/7503662578053287173
7506919408745401643,movie.88us,I’ve always been told I’m a playboy #fyp #tiktok #usa #nba #jaysontatum ,20400,231,1487,555700,"fyp, tiktok, usa, nba, jaysontatum",original sound,2025-05-21 15:21:34,https://www.tiktok.com/@movie.88us/video/7506919408745401643
7506675539575377198,danaehays,I’m fuming at these ding dongs 😫,27700,802,778,292500,,original sound,2025-05-20 23:35:07,https://www.tiktok.com/@danaehays/video/7506675539575377198
7505234092380769567,maybe_cassidy2,Tumblr ED was literally the trenches. #fypシ ,47300,21,108,249700,fypシ,original sound,2025-05-17 02:21:44,https://www.tiktok.com/@maybe_cassidy2/video/7505234092380769567
7505948031875960107,llocat,,328900,152,11300,1600000,,original sound,2025-05-19 00:32:31,https://www.tiktok.com/@llocat/video/7505948031875960107
7506923481062214943,aanthonyy.c,Yes I know 6500 is more than 99% of clubs guys don’t come at me (doesn’t include any of the travel and hotel either😭) #volleyball #volleyballplayer #volleyballtournament #volleyballteam #volleyballlife #fypシ #viral #volleyballteam ,61500,515,1523,257200,"volleyball, volleyballplayer, volleyballtournament, volleyballteam, volleyballlife, fypシ, viral",Western Music: Arizona Dreaming,2025-05-21 15:37:18,https://www.tiktok.com/@aanthonyy.c/video/7506923481062214943
7498795650323090710,norman_patzek,BOMBOOOOCLAAAAAT,5800000,20800,1100000,64300000,,original sound,2025-04-29 17:57:00,https://www.tiktok.com/@norman_patzek/video/7498795650323090710
7502454564705094954,funny_prank.86,#funny #prank #scare #fyp #viral,221000,787,82600,3200000,"funny, prank, scare, fyp, viral",nhạc nền,2025-05-09 14:36:22,https://www.tiktok.com/@funny_prank.86/video/7502454564705094954
7506645039402028318,kassy.garza1,Chilaquiles verdes for breakfast 🍽️ #chilaquiles #chilaquilesverdes #receta #cooking #almuerzo #cooking  #easyrecipe #fyp #viralvideo ,70400,389,2492,1400000,"chilaquiles, chilaquilesverdes, receta, cooking, almuerzo, easyrecipe, fyp, viralvideo",Flor de Capomo,2025-05-20 21:36:59,https://www.tiktok.com/@kassy.garza1/video/7506645039402028318
7506333770400664874,sydsacks,I’ve been cracking up at this trend so I made Peter call his besties to say goodnight 🤪 #goodnight #besties ,243900,1424,41200,2700000,"goodnight, besties",original sound,2025-05-20 01:29:11,https://www.tiktok.com/@sydsacks/video/7506333770400664874
7506747041347898667,uncpoochie,"GoFundMe in bio.😭 And for the last time Unc ain't kill or rape anyone. He's too kind for that. But even if he assassinated the Pope. He's done his time, repented, and turned away from his past. I don't like bringing it up to him because he starts to get sad. He missed his own momma funeral(my grandmother) because of being locked up. I want him to enjoy life out here not be depressed.",32200,145,537,391400,,original sound,2025-05-21 04:12:40,https://www.tiktok.com/@uncpoochie/video/7506747041347898667
7506649137790651690,thelandonpatterson,"This is quite the trip down memory lane. I’m so lucky I got to transition so young. It wasn’t easy but getting to live my truth when I got to is truly what saved my life and I feel like has led me to such an amazing adult life so glad I got to express myself and fashion, and make up wise as the girl I was always supposed to be when I was younger. I hope y’all enjoy getting to look back at my life as a very young trans woman. ",281700,2636,1727,2800000,,Use this sound for a free kiss,2025-05-20 21:53:19,https://www.tiktok.com/@thelandonpatterson/video/7506649137790651690
7507354436470115627,prafit.s,#viral #xyzbca #trending #money #fyp ,9580,3916,178,367400,"viral, xyzbca, trending, money, fyp",Thinkin,2025-05-22 19:29:39,https://www.tiktok.com/@prafit.s/video/7507354436470115627
7506132105127021866,hcizrwdk13,#tiktok #foryou #fyp #movie,364600,2347,40500,2600000,,original sound - hcizrwdk13,2025-05-19 12:27:08,https://www.tiktok.com/@hcizrwdk13/video/7506132105127021866
7505115176056769799,reshetovaaa,было? тг: reshetovaaa ,138600,413,24000,1200000,,Босая,2025-05-16 18:40:01,https://www.tiktok.com/@reshetovaaa/video/7505115176056769799
7506589627004767530,notburnttoasthehe,new tattieesss flower design by: aymarianamariana on IG❤️,328000,756,638,2200000,,Autumn Leaves,2025-05-20 18:02:07,https://www.tiktok.com/@notburnttoasthehe/video/7506589627004767530
7505026816894225672,txt.bighitent,하오 따라서 ㅎㅎ ,1500000,16500,50900,6800000,,오리지널 사운드 - ZEROBASEONE,2025-05-16 12:57:08,https://www.tiktok.com/@txt.bighitent/video/7505026816894225672
7506663163497057567,sidstudiesadhd,HES ROASTING ME HELPPPPP THIS IS YALLS FAULT😭😭😭 #professor #brainrot #college #pleasedontfailme ,133200,619,3967,957200,"professor, brainrot, college, pleasedontfailme",original sound,2025-05-20 22:47:13,https://www.tiktok.com/@sidstudiesadhd/video/7506663163497057567
7504856129432849707,ilovewingstop4321,#ilovehim #ayeletmehit #please ,424200,1969,98200,1500000,"ilovehim, ayeletmehit, please",LEMMEE SEE THAT P,2025-05-16 01:55:22,https://www.tiktok.com/@ilovewingstop4321/video/7504856129432849707
7506565164238441771,chelseyamaro,Replying to @miriam♡ my maids of honor + man of honor 🤍,55200,57,289,339900,,Talk of the Town,2025-05-20 16:27:35,https://www.tiktok.com/@chelseyamaro/video/7506565164238441771
7504439265934265630,emili.kim,Jin Ramen is ALWAYS worth it. #ReachForRamen ,6182,27,67,2200000,ReachForRamen,original sound,2025-05-14 22:57:15,https://www.tiktok.com/@emili.kim/video/7504439265934265630
7506972757700283650,elespanolcom,"🔴 Un miembro de la Guardia de Honor Presidencial de EEUU se d3spl0m4 mientras Trump espera la llegada del presidente de Sudáfrica, Cyril Ramaphosa Afortunadamente, el hombre, que sostenía una bandera estatal, ha podido reincorporarse y ha quedado en un susto #guardiadehonor #guardia #trump #eeuu #sudafrica #guard #rapaphosa #donaldtrump ",159000,5147,5050,7000000,"guardiadehonor, guardia, trump, eeuu, sudafrica, guard, rapaphosa, donaldtrump",sonido original,2025-05-21 18:48:22,https://www.tiktok.com/@elespanolcom/video/7506972757700283650
7495810369093455146,over40mmo,I wish I was a hot dumb blonde chicken. #postsurgery #over40club #genxcrew #helpthisgoviral ,3200000,364300,116700,22000000,"postsurgery, over40club, genxcrew, helpthisgoviral",original sound,2025-04-21 16:53:23,https://www.tiktok.com/@over40mmo/video/7495810369093455146
7506968961993428255,c3rtifiedman3ater,never ,271300,278,11200,975600,,original sound,2025-05-21 18:33:45,https://www.tiktok.com/@c3rtifiedman3ater/video/7506968961993428255
7504859877731208490,anyarichey_,yay #francisthefish @Owen_eldridge ,20900,22,906,176600,francisthefish,original sound,2025-05-16 02:09:42,https://www.tiktok.com/@anyarichey_/video/7504859877731208490
7506631832230841643,prettytwixx,The orginal Victoria who name is Rachelle Leferve was fired and replaced after the first two films of twilight for someone else that refused the role only to get it only because it was famous #twilight #eclipse #victoria #twlightsaga #fyppppppppppppppppppppppp ,204800,857,3876,1200000,"twilight, eclipse, victoria, twlightsaga, fyppppppppppppppppppppppp",Hearing Damage,2025-05-20 20:46:10,https://www.tiktok.com/@prettytwixx/video/7506631832230841643
7505706637743688978,pia.orchard,Dad can finally read the menu ,252600,429,42600,1300000,,original sound,2025-05-18 08:55:13,https://www.tiktok.com/@pia.orchard/video/7505706637743688978
7505523493581163822,vidaquebrilla,"vmc, taco tuesday & beach YES PLZ #beachdate #tacotuesday ",74000,259,25000,420800,"beachdate, tacotuesday",sonido original,2025-05-17 21:05:17,https://www.tiktok.com/@vidaquebrilla/video/7505523493581163822
7505962601004764447,thecombstwins,Prom 2k25❤️,57000,10,1149,970000,,original sound,2025-05-19 01:28:46,https://www.tiktok.com/@thecombstwins/video/7505962601004764447
7506664619054927150,thebabytalks,"""Baby Gambini, Are you mocking me in that baby suit?"" My cousin Vinny movie scene #baby #mycousinvinny #JoePesci #courtscene  #talkingbaby #movietok #movieclips #moviescene #fypシ #fyp #viral #tiktok ",33500,339,10700,522900,"baby, mycousinvinny, joepesci, courtscene, talkingbaby, movietok, movieclips, moviescene, fypシ, fyp, viral, tiktok",original sound,2025-05-20 22:53:13,https://www.tiktok.com/@thebabytalks/video/7506664619054927150
7505931082529885470,elgathovolador503,#parati #fyp #viralvideo #laescuelitasd ,62900,795,391,1300000,"parati, fyp, viralvideo, laescuelitasd",sonido original,2025-05-18 23:26:27,https://www.tiktok.com/@elgathovolador503/video/7505931082529885470
7507014805794868522,waltandgusthebernese,What’s his problem with flowers 💀 #bernese #fyp #bernesemountaindog #funnydogs ,133600,244,13600,656400,"bernese, fyp, bernesemountaindog, funnydogs",Oh My Gawd Man...,2025-05-21 21:31:42,https://www.tiktok.com/@waltandgusthebernese/video/7507014805794868522
7505914591864507691,hannahtuckr,#roblox ,411200,865,34100,1500000,roblox,The Winner Is... - DeVotchKa Version,2025-05-18 22:22:41,https://www.tiktok.com/@hannahtuckr/video/7505914591864507691
7507051311049805102,philo.deeja,Drinks a solid 10/10. I’ll be getting one everyday #dunkin #mangolassi #coffee #fyp #trending @Dunkin' ,94500,710,17900,777800,"dunkin, mangolassi, coffee, fyp, trending",original sound,2025-05-21 23:53:22,https://www.tiktok.com/@philo.deeja/video/7507051311049805102
7505112348861009157,atticus.marsh,… #mountains #fypシ゚ #foryoupage #outdoors,134000,855,6170,1200000,"mountains, fypシ゚, foryoupage, outdoors",original sound,2025-05-16 18:29:05,https://www.tiktok.com/@atticus.marsh/video/7505112348861009157
7506037279811570952,ahlanlivedubai,Cameraman said 🫣🤳🌃 🎥 chenruoxie_ | IG,554700,1667,135400,5300000,,original sound,2025-05-19 06:18:15,https://www.tiktok.com/@ahlanlivedubai/video/7506037279811570952
7506619316792511787,sparked_upp,,59400,157,17700,701800,"bluecollar, fypp, fy, jersey, union, electrician, trade, tradeschool, fyp, electricalengineering, construction, sparky, contractor, lighting, sparkylife",original sound,2025-05-20 19:57:31,https://www.tiktok.com/@sparked_upp/video/7506619316792511787
7505919391482105110,morenamonamur,,229300,467,78700,1900000,,оригинальный звук,2025-05-18 22:40:52,https://www.tiktok.com/@morenamonamur/video/7505919391482105110
7505879522969947422,antxana,te necesitoooo ,50100,135,179,476800,,sonido original,2025-05-18 20:06:19,https://www.tiktok.com/@antxana/video/7505879522969947422
7506613900658347295,espnmma,#SeanOmalley #ufc #mma #ufc316 #merabdvalishvili ,35300,211,192,730000,"seanomalley, ufc, mma, ufc316, merabdvalishvili",original sound,2025-05-20 19:36:11,https://www.tiktok.com/@espnmma/video/7506613900658347295
7505459589643537710,conner.coley,Just settle for less #wafflehouse #steakdinner #relationshipgoals #duramax #fyp #foryoupage,82800,177,7572,561500,"wafflehouse, steakdinner, relationshipgoals, duramax, fyp, foryoupage",ECE Marketing Airball,2025-05-17 16:57:15,https://www.tiktok.com/@conner.coley/video/7505459589643537710
7505600493159271726,abejareina_diamante_,Amor Propio ❤️‍🔥  #Chiquis #AbejaReina #musicabanda #musicamexicana #nuevamusica ,83900,3,1883,1500000,"chiquis, abejareina, musicabanda, musicamexicana, nuevamusica",Amor Propio,2025-05-18 02:03:48,https://www.tiktok.com/@abejareina_diamante_/video/7505600493159271726
7501448270330318111,nalathegingerkitty,My pretty little baby💕#catsoftiktok #cats #cattok #fyp #viralvideo #catlover ,1300000,4627,96500,5300000,"catsoftiktok, cats, cattok, fyp, viralvideo, catlover",Pretty Little Baby - Stereo Mix,2025-05-06 21:30:58,https://www.tiktok.com/@nalathegingerkitty/video/7501448270330318111
7506961445372955946,.isaescu,,46700,27,4047,333300,,original sound,2025-05-21 18:04:43,https://www.tiktok.com/@.isaescu/video/7506961445372955946
7505899434060811550,arrietty_theelf,I got my own life sized @Kori King👑  Doll 💗🤟🏽 ,71800,245,1794,494600,,original sound,2025-05-18 21:23:34,https://www.tiktok.com/@arrietty_theelf/video/7505899434060811550
7505543359235214623,iamreesemichele,done with heat damage here comes healthy hair #fyp #fypシ #fypシ゚viral #fy #summer #bioionic #bioionictools #aesthetic #repostworthy ,62700,416,2932,400900,"fyp, fypシ, fypシ゚viral, fy, summer, bioionic, bioionictools, aesthetic, repostworthy",original sound,2025-05-17 22:21:54,https://www.tiktok.com/@iamreesemichele/video/7505543359235214623
7505454910687710510,blacccbharbiee,,102800,6998,82700,791800,,original sound,2025-05-17 16:39:04,https://www.tiktok.com/@blacccbharbiee/video/7505454910687710510
